id,user_id,number_of_guests,location,reservation_date,reservation_time,created_at
f3a1d8c4-7b92-4e5a-91d7-3c8f2a6b1e44,c1a8f9d2-7e34-4b6a-a5d1-91f8f6b72a11,4,Main Dining,2026-05-25,18:30:00,2026-05-15T09:12:45
b7d4e2f1-5c88-49ab-8f3d-6a1c9e7b2d55,8f42d6ab-1c57-48a0-93de-2bfc8c91d4e7,2,Terrace,2026-05-26,12:00:00,2026-05-15T09:15:10
9c5a7e1d-3f64-42b8-b1e9-4d7c2a8f6b33,3b7e9124-5f0d-4d88-bd3e-7f61f7c8e219,3,Bar,2026-05-27,09:15:00,2026-05-15T09:18:22
2e8b4d7f-1a35-46c9-92f1-8d6b3c7a5e66,f5c3a1d8-9b64-41ef-8f3b-12c9d4e5a6f7,5,Main Dining,2026-05-28,20:45:00,2026-05-15T09:21:37
7d1c9a4e-6f52-4b8d-a3c7-5e2f1b9d4a77,2d6f8b90-3a74-45ce-91f4-8a7d5c3e2b10,2,Lounge,2026-05-29,14:00:00,2026-05-15T09:25:04
4a9f2d7c-8b31-45e6-b9d4-2f7c1a5e8d88,a9c4e7f1-6d22-4f93-87ab-3e1d5f8c7b44,4,Terrace,2026-05-30,16:20:00,2026-05-15T09:28:49
1b7e4c9d-5a63-4f28-83d1-9c2f6a7b3d99,7e2a5c91-4b8d-49fa-95c1-6f3b2d7a8c55,3,Main Dining,2026-05-31,11:10:00,2026-05-15T09:31:56
8c2d5f1a-7b49-46e3-a1d8-4f6c9b2e7a10,4f9d2b73-8c15-4e6a-a2d9-5b7f1c3e6a88,2,Bar,2026-06-01,19:00:00,2026-05-15T09:35:18
5e1a7c4d-9b36-42f8-b7d2-1c8a5e6f3d21,b2e7c4d1-9f53-47ab-84de-1c6a9f3b7d22,6,Main Dining,2026-06-02,08:45:00,2026-05-15T09:38:40
3d9f1b7a-6c24-4e58-a2f7-7b1d5c8e4a32,6c8d1f42-3b79-4ad0-b5f8-9e2c7d1a4f66,4,Lounge,2026-06-03,13:30:00,2026-05-15T09:42:11
6a8b2d4e-1f73-4c9a-b5e8-3d2f1c7a4b99,1a3f5b7c-9d24-4e8a-b3c7-6e8f1a2b4d55,2,Terrace,2026-06-04,10:00:00,2026-05-15T09:45:15
e4d1f7c2-8b39-4a5e-92c1-6f8b3d7a4e22,5c7e9f1a-3b48-42d0-a9b5-7c1e6f8d2b44,3,Main Dining,2026-06-05,21:15:00,2026-05-15T09:48:30
7b2e9a4f-6c1d-4583-a1d7-2c9e5b8f3d44,9d1f4a7c-3b2e-486a-85c1-2e7f9b3c4d55,5,Bar,2026-06-06,07:30:00,2026-05-15T09:51:02
1d8f3c7a-5b42-4e9d-a6f2-9c3b1e7f4a88,2b4c7e9d-1f5a-43d8-b2e1-6f8a3c5d7b99,2,Lounge,2026-06-07,15:45:00,2026-05-15T09:54:18
9e2b5c7f-4a1d-483e-b9f2-6c7d1a5e8b33,f4a1d7c3-8b2e-495a-a3d1-7c9e2b5f8d44,4,Terrace,2026-06-08,12:30:00,2026-05-15T09:57:40
3c8f1d4a-7b29-4e5a-91d8-2f6b3c7a5e11,7b3e9a1c-5d42-4f8a-b1e7-2c6f8d3b5a99,3,Main Dining,2026-06-09,19:15:00,2026-05-15T10:01:12
5a2e7c9d-1b43-4f8a-82d9-6c3f1b7e4a55,c8d2f1a4-7b39-456a-a1e8-9b4c7f2e3a11,2,Bar,2026-06-10,14:00:00,2026-05-15T10:04:25
2f8b1c7d-6a34-429e-b5d1-8c7f3b2a4e99,a1b7c4d9-3e2f-485a-92c1-6f3d8a5e7b44,5,Main Dining,2026-06-11,11:00:00,2026-05-15T10:07:50
8d3f2a1c-7b94-4e6a-a2d1-5c8e3b7f4a22,3d9e2f1a-4b7c-485a-83d1-9c6f2a4b7e55,4,Lounge,2026-06-12,20:00:00,2026-05-15T10:11:05
4b1c7e9d-5a32-4f8a-91c2-3e6f8b2d4a77,6f2a4b8d-1c73-45ea-b9d1-2f8c7e3a5b44,2,Terrace,2026-06-13,16:30:00,2026-05-15T10:14:33
